Date,Time,PAR_rcb,PAR_greenup
8/27/18,7:30:00 PM,101,
8/27/18,7:45:00 PM,47,
8/27/18,8:00:00 PM,22,
8/27/18,8:15:00 PM,10,
8/27/18,8:30:00 PM,7,
8/27/18,8:45:00 PM,7,
8/27/18,9:00:00 PM,9,
8/27/18,9:15:00 PM,7,
8/27/18,9:30:00 PM,6,
8/27/18,9:45:00 PM,9,
8/27/18,10:00:00 PM,7,
8/27/18,10:15:00 PM,9,
8/27/18,10:30:00 PM,7,
8/27/18,10:45:00 PM,9,
8/27/18,11:00:00 PM,7,
8/27/18,11:15:00 PM,9,
8/27/18,11:30:00 PM,9,
8/27/18,11:45:00 PM,7,
8/28/18,12:00:00 AM,10,
8/28/18,12:15:00 AM,10,
8/28/18,12:30:00 AM,7,
8/28/18,12:45:00 AM,9,
8/28/18,1:00:00 AM,7,
8/28/18,1:15:00 AM,7,
8/28/18,1:30:00 AM,10,
8/28/18,1:45:00 AM,7,
8/28/18,2:00:00 AM,9,
8/28/18,2:15:00 AM,9,
8/28/18,2:30:00 AM,7,
8/28/18,2:45:00 AM,9,
8/28/18,3:00:00 AM,9,
8/28/18,3:15:00 AM,9,
8/28/18,3:30:00 AM,9,
8/28/18,3:45:00 AM,9,
8/28/18,4:00:00 AM,10,
8/28/18,4:15:00 AM,9,
8/28/18,4:30:00 AM,9,
8/28/18,4:45:00 AM,9,
8/28/18,5:00:00 AM,10,
8/28/18,5:15:00 AM,7,
8/28/18,5:30:00 AM,9,
8/28/18,5:45:00 AM,9,
8/28/18,6:00:00 AM,7,
8/28/18,6:15:00 AM,9,
8/28/18,6:30:00 AM,9,
8/28/18,6:45:00 AM,10,
8/28/18,7:00:00 AM,25,
8/28/18,7:15:00 AM,43,
8/28/18,7:30:00 AM,74,
8/28/18,7:45:00 AM,115,
8/28/18,8:00:00 AM,130,
8/28/18,8:15:00 AM,172,
8/28/18,8:30:00 AM,407,
8/28/18,8:45:00 AM,294,
8/28/18,9:00:00 AM,576,
8/28/18,9:15:00 AM,664,
8/28/18,9:30:00 AM,761,
8/28/18,9:45:00 AM,846,
8/28/18,10:00:00 AM,950,
8/28/18,10:15:00 AM,1030,
8/28/18,10:30:00 AM,1120,
8/28/18,10:45:00 AM,1200,
8/28/18,11:00:00 AM,1265,
8/28/18,11:15:00 AM,1338,
8/28/18,11:30:00 AM,1392,
8/28/18,11:45:00 AM,1438,
8/28/18,12:00:00 PM,1500,
8/28/18,12:15:00 PM,1545,
8/28/18,12:30:00 PM,1571,
8/28/18,12:45:00 PM,1617,
8/28/18,1:00:00 PM,1633,
8/28/18,1:15:00 PM,1431,
8/28/18,1:30:00 PM,1713,
8/28/18,1:45:00 PM,1814,
8/28/18,2:00:00 PM,1805,
8/28/18,2:15:00 PM,1724,
8/28/18,2:30:00 PM,1710,
8/28/18,2:45:00 PM,1645,
8/28/18,3:00:00 PM,388,
8/28/18,3:15:00 PM,1582,
8/28/18,3:30:00 PM,321,
8/28/18,3:45:00 PM,1315,
8/28/18,4:00:00 PM,1340,
8/28/18,4:15:00 PM,1265,
8/28/18,4:30:00 PM,1194,
8/28/18,4:45:00 PM,1107,
8/28/18,5:00:00 PM,1025,
8/28/18,5:15:00 PM,936,
8/28/18,5:30:00 PM,837,
8/28/18,5:45:00 PM,752,
8/28/18,6:00:00 PM,639,
8/28/18,6:15:00 PM,543,
8/28/18,6:30:00 PM,441,
8/28/18,6:45:00 PM,343,
8/28/18,7:00:00 PM,256,
8/28/18,7:15:00 PM,176,
8/28/18,7:30:00 PM,105,
8/28/18,7:45:00 PM,46,
8/28/18,8:00:00 PM,21,
8/28/18,8:15:00 PM,9,
8/28/18,8:30:00 PM,9,
8/28/18,8:45:00 PM,6,
8/28/18,9:00:00 PM,9,
8/28/18,9:15:00 PM,7,
8/28/18,9:30:00 PM,7,
8/28/18,9:45:00 PM,7,
8/28/18,10:00:00 PM,9,
8/28/18,10:15:00 PM,7,
8/28/18,10:30:00 PM,9,
8/28/18,10:45:00 PM,9,
8/28/18,11:00:00 PM,9,
8/28/18,11:15:00 PM,6,
8/28/18,11:30:00 PM,7,
8/28/18,11:45:00 PM,7,
8/29/18,12:00:00 AM,9,
8/29/18,12:15:00 AM,9,
8/29/18,12:30:00 AM,7,
8/29/18,12:45:00 AM,9,
8/29/18,1:00:00 AM,9,
8/29/18,1:15:00 AM,7,
8/29/18,1:30:00 AM,9,
8/29/18,1:45:00 AM,9,
8/29/18,2:00:00 AM,7,
8/29/18,2:15:00 AM,9,
8/29/18,2:30:00 AM,9,
8/29/18,2:45:00 AM,9,
8/29/18,3:00:00 AM,7,
8/29/18,3:15:00 AM,9,
8/29/18,3:30:00 AM,7,
8/29/18,3:45:00 AM,7,
8/29/18,4:00:00 AM,9,
8/29/18,4:15:00 AM,9,
8/29/18,4:30:00 AM,9,
8/29/18,4:45:00 AM,10,
8/29/18,5:00:00 AM,7,
8/29/18,5:15:00 AM,10,
8/29/18,5:30:00 AM,9,
8/29/18,5:45:00 AM,9,
8/29/18,6:00:00 AM,7,
8/29/18,6:15:00 AM,9,
8/29/18,6:30:00 AM,6,
8/29/18,6:45:00 AM,10,
8/29/18,7:00:00 AM,25,
8/29/18,7:15:00 AM,50,
8/29/18,7:30:00 AM,81,
8/29/18,7:45:00 AM,104,
8/29/18,8:00:00 AM,124,
8/29/18,8:15:00 AM,164,
8/29/18,8:30:00 AM,391,
8/29/18,8:45:00 AM,283,
8/29/18,9:00:00 AM,584,
8/29/18,9:15:00 AM,682,
8/29/18,9:30:00 AM,789,
8/29/18,9:45:00 AM,876,
8/29/18,10:00:00 AM,969,
8/29/18,10:15:00 AM,1043,
8/29/18,10:30:00 AM,1141,
8/29/18,10:45:00 AM,1252,
8/29/18,11:00:00 AM,1327,
8/29/18,11:15:00 AM,791,
8/29/18,11:30:00 AM,1166,
8/29/18,11:45:00 AM,814,
8/29/18,12:00:00 PM,459,
8/29/18,12:15:00 PM,380,
8/29/18,12:30:00 PM,228,
8/29/18,12:45:00 PM,519,
8/29/18,1:00:00 PM,886,
8/29/18,1:15:00 PM,1783,
8/29/18,1:30:00 PM,1670,
